@RELATION Models/svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Good,Bad}

@DATA
0.043924,0.007943,3.178802,0.116960,0.170170,0.237976,0.006015,0.053066,-26.894913,2.165594,-0.427420,-0.293890,-0.185562,-0.231477,-0.061374,-0.008472,-0.166553,-0.069014,-0.086468,-0.016604,-0.107133,0.020401,0.009992,0.028346,0.019956,0.016786,0.021095,0.032750,0.008292,0.009845,0.010216,0.021137,0.007110,0.024624,0.014936,0.006545,0.089906,0.031915,0.031796,0.130793,0.003290,0.026707,1.538706,0.511828,0.551460,0.338039,0.367039,0.313444,0.285213,0.288826,0.292114,0.256086,0.271869,0.241253,0.226548,0.020549,0.012785,0.027546,0.022869,0.018031,0.022023,0.031560,0.013017,0.011781,0.011264,0.020296,0.009080,0.010824,Good
0.035960,0.005943,3.197184,0.095842,0.159888,0.101740,0.007748,0.049904,-27.756543,2.037248,-1.292333,0.076634,-0.396885,-0.092036,-0.078043,-0.035016,-0.183235,-0.097043,-0.083967,0.004702,0.051124,0.013322,0.005299,0.019707,0.019539,0.027977,0.016573,0.009987,0.010876,0.012695,0.012120,0.010698,0.013989,0.024078,0.010492,0.005760,0.118596,0.027432,0.033463,0.085703,0.007021,0.016850,1.657519,0.541548,0.388864,0.349654,0.365238,0.318555,0.335311,0.334524,0.364090,0.345512,0.316743,0.292970,0.249418,0.016024,0.008303,0.027329,0.024074,0.034369,0.021387,0.010358,0.017913,0.020339,0.014616,0.014536,0.021043,0.011475,Good
0.048793,0.004660,3.177173,0.118263,0.167614,0.237882,0.006287,0.066077,-28.066833,1.728389,-1.022695,-0.222223,-0.224319,-0.094744,-0.092914,-0.078173,-0.125462,-0.004020,0.001322,-0.013889,-0.061749,0.010790,0.011283,0.016256,0.012021,0.015416,0.017004,0.024476,0.013246,0.015138,0.009579,0.016611,0.010831,0.021408,0.011695,0.004286,0.104759,0.023832,0.026911,0.109959,0.003892,0.021503,1.207183,0.495390,0.500355,0.332133,0.331089,0.323194,0.299292,0.316789,0.302242,0.297522,0.278598,0.245472,0.220309,0.011414,0.015662,0.015640,0.014794,0.016301,0.020604,0.023432,0.020008,0.021216,0.010719,0.017716,0.014586,0.010584,Good
0.045038,0.004758,3.192677,0.111795,0.164442,0.230781,0.005746,0.060597,-29.229646,1.791807,-0.590299,0.191891,-0.197279,0.024433,-0.070872,0.090135,-0.000586,0.073888,-0.006868,0.031776,0.007725,0.012139,0.007915,0.029171,0.010685,0.016130,0.012736,0.037775,0.008920,0.009564,0.014549,0.020630,0.007336,0.024367,0.015950,0.003079,0.099844,0.029143,0.032277,0.151632,0.004240,0.025149,1.439676,0.587454,0.443356,0.334220,0.323346,0.291246,0.290559,0.284509,0.299220,0.271682,0.259087,0.243641,0.221358,0.013158,0.010382,0.026561,0.011869,0.015539,0.016380,0.033051,0.012575,0.013014,0.014272,0.019574,0.009824,0.011792,Good
0.047104,0.009488,3.216660,0.108338,0.155408,0.212420,0.004895,0.060105,-27.351070,1.399845,-0.731945,0.161156,-0.266760,0.103094,-0.091813,0.071083,-0.063318,0.049272,-0.028255,0.038237,-0.000203,0.010455,0.014084,0.019879,0.010587,0.011650,0.012113,0.039473,0.003318,0.012756,0.011910,0.016268,0.006563,0.020928,0.011138,0.007433,0.077410,0.025542,0.034205,0.101700,0.002458,0.016793,1.663861,0.519199,0.379553,0.303809,0.286039,0.268769,0.273037,0.286561,0.273083,0.275097,0.262941,0.236312,0.218853,0.012437,0.015943,0.019470,0.012827,0.012250,0.015294,0.033189,0.004891,0.015230,0.012991,0.017024,0.009422,0.010465,Good
0.036572,0.004896,3.190121,0.106931,0.168812,0.170954,0.006505,0.047264,-28.228057,2.523818,-0.606924,-0.066613,-0.239079,-0.353840,-0.110044,0.008125,0.124552,-0.113373,-0.035352,-0.083773,-0.044117,0.021080,0.008232,0.031602,0.018159,0.027048,0.013754,0.017798,0.004147,0.009819,0.018012,0.014665,0.030560,0.027692,0.014893,0.004248,0.101730,0.029238,0.032236,0.134506,0.005093,0.026903,1.507526,0.734126,0.481425,0.445620,0.327999,0.329926,0.326305,0.336636,0.352487,0.326895,0.316220,0.278300,0.247343,0.023324,0.012427,0.032473,0.021631,0.030026,0.018178,0.020714,0.008197,0.014763,0.021734,0.015665,0.034259,0.010608,Good
0.060117,0.006226,3.173578,0.137828,0.173943,0.492895,0.005276,0.098347,-28.104913,1.883730,-0.283169,0.167972,-0.202390,-0.046243,-0.143369,-0.119098,-0.225546,-0.042923,-0.072003,-0.058181,-0.019430,0.014421,0.004270,0.023293,0.018650,0.020116,0.015530,0.020623,0.007406,0.013005,0.012956,0.016774,0.005164,0.019942,0.022359,0.005197,0.148057,0.029239,0.024258,0.250367,0.006798,0.046108,1.593194,0.673300,0.457481,0.354885,0.321269,0.299511,0.313427,0.307905,0.313879,0.305779,0.307613,0.269006,0.227177,0.014463,0.006313,0.022016,0.019459,0.019641,0.017262,0.021173,0.011107,0.014310,0.015149,0.018579,0.007422,0.008881,Good
0.075373,0.000653,3.247110,0.163912,0.187493,0.581184,0.002640,0.110085,-35.057937,1.468924,-0.592043,-0.125029,-0.191436,-0.176658,-0.208467,-0.025618,-0.011879,0.009483,-0.020224,-0.022631,0.019273,0.007872,0.006953,0.023039,0.013811,0.012132,0.008241,0.040857,0.005832,0.010499,0.012026,0.014614,0.013503,0.024944,0.017087,0.000669,0.055013,0.019917,0.014802,0.153601,0.002397,0.033143,0.767001,0.330451,0.266673,0.236643,0.225340,0.204509,0.215427,0.218064,0.234323,0.226359,0.211230,0.184583,0.158818,0.007796,0.007896,0.017490,0.013763,0.011672,0.008213,0.014834,0.006557,0.009911,0.011308,0.012037,0.014785,0.007822,Good
0.043976,0.006739,3.229460,0.109499,0.163587,0.180361,0.004868,0.060404,-28.030248,1.703807,-0.979983,0.224051,-0.504064,-0.003846,-0.160651,-0.047909,-0.138647,-0.018665,-0.088882,-0.004400,-0.055383,0.008424,0.009901,0.016854,0.012742,0.018309,0.014522,0.019818,0.006021,0.014251,0.010492,0.013699,0.006839,0.020718,0.012049,0.004231,0.105549,0.027335,0.031504,0.095538,0.004557,0.018454,1.521817,0.694661,0.399880,0.329722,0.329153,0.305868,0.298226,0.322852,0.343463,0.342702,0.333434,0.267578,0.231974,0.009628,0.013120,0.018918,0.015784,0.021315,0.019575,0.021232,0.010975,0.019620,0.012921,0.017770,0.011919,0.010686,Good
0.040795,0.003145,3.184440,0.126757,0.197452,0.162991,0.006548,0.049409,-29.272227,2.608819,-0.630982,-0.070933,-0.143590,-0.050686,-0.092146,0.113242,-0.065372,-0.054164,-0.019553,0.059560,-0.024556,0.015004,0.007637,0.025696,0.015018,0.023932,0.016244,0.030637,0.005922,0.010000,0.019572,0.018555,0.010840,0.024243,0.012022,0.003374,0.094498,0.024837,0.025097,0.088972,0.004298,0.018506,1.146737,0.550861,0.425821,0.344107,0.329276,0.304733,0.283858,0.283470,0.295657,0.294552,0.278153,0.254930,0.217836,0.016439,0.010939,0.023449,0.017824,0.023586,0.018909,0.027747,0.010835,0.014247,0.020323,0.018876,0.013968,0.010508,Good
